Goalie,Team,GP,xGA,GA,GSAx,WAR,SA,xSV%,SV%,dSV%,TOI,FA,xFSV%,FSV%,dFSV%,GAR
Sergei Bobrovsky,FLA,23,59.48,51,8.48,2.65,603,90.14,91.54,1.41,1419.75,946,93.71,94.61,0.9,14.02
Jake Oettinger,DAL,18,53.92,47,6.92,2.26,489,88.97,90.39,1.41,1008.5,769,92.99,93.89,0.9,11.93
Stuart Skinner,EDM,15,42.94,43,-0.06,0.74,392,89.05,89.03,-0.01,870.72,626,93.14,93.13,-0.01,3.94
Frederik Andersen,CAR,13,31.2,25,6.2,1.72,264,88.18,90.53,2.35,738.62,449,93.05,94.43,1.38,9.1
Connor Hellebuyck,WPG,13,32.75,39,-6.25,-0.61,283,88.43,86.22,-2.21,748.87,480,93.18,91.88,-1.3,-3.2
Adin Hill,VGK,11,30.42,33,-2.58,0.05,288,89.44,88.54,-0.89,672.67,462,93.41,92.86,-0.56,0.25
Calvin Pickard,EDM,10,20.66,23,-2.34,-0.08,205,89.92,88.78,-1.14,513.83,340,93.92,93.24,-0.69,-0.42
Logan Thompson,WSH,10,29.65,24,5.65,1.59,280,89.41,91.43,2.02,588.78,461,93.57,94.79,1.23,8.41
Mackenzie Blackwood,COL,7,19.89,19,0.89,0.52,171,88.37,88.89,0.52,417.75,270,92.63,92.96,0.33,2.74
Anthony Stolarz,TOR,7,15.81,14,1.81,0.62,147,89.24,90.48,1.23,408.17,253,93.75,94.47,0.72,3.28
Joseph Woll,TOR,7,20.68,22,-1.32,0.11,193,89.29,88.6,-0.69,378.88,333,93.79,93.39,-0.4,0.6
Jordan Binnington,STL,7,18.02,17,1.02,0.51,182,90.1,90.66,0.56,442.72,309,94.17,94.5,0.33,2.69
Filip Gustavsson,MIN,6,17.55,16,1.55,0.6,180,90.25,91.11,0.86,351.38,288,93.91,94.44,0.54,3.18
Darcy Kuemper,L.A,6,20.45,20,0.45,0.45,201,89.83,90.05,0.22,364.97,308,93.36,93.51,0.15,2.35
Linus Ullmark,OTT,6,16.14,18,-1.86,-0.07,150,89.24,88.0,-1.24,377.97,242,93.33,92.56,-0.77,-0.36
Andrei Vasilevskiy,T.B,5,11.86,16,-4.14,-0.57,125,90.51,87.2,-3.31,292.63,182,93.48,91.21,-2.27,-3.03
Jacob Markstrom,N.J,5,19.04,16,3.04,0.91,175,89.12,90.86,1.73,344.57,298,93.61,94.63,1.02,4.81
Pyotr Kochetkov,CAR,4,7.66,12,-4.34,-0.69,83,90.77,85.54,-5.23,199.38,124,93.82,90.32,-3.5,-3.63
Sam Montembeault,MTL,3,8.91,7,1.91,0.52,76,88.28,90.79,2.51,152.12,114,92.18,93.86,1.67,2.74
Eric Comrie,WPG,3,1.41,1,0.41,0.1,13,89.15,92.31,3.16,42.98,20,92.95,95.0,2.05,0.54
Jakub Dobes,MTL,3,6.16,7,-0.84,-0.05,59,89.55,88.14,-1.42,144.03,94,93.44,92.55,-0.89,-0.26
Casey Desmith,DAL,2,3.56,4,-0.44,-0.02,34,89.52,88.24,-1.28,70.1,48,92.57,91.67,-0.91,-0.1
Akira Schmid,VGK,1,1.05,0,1.05,0.22,9,88.29,100.0,11.71,18.93,10,89.47,100.0,10.53,1.15
Marc-Andre Fleury,MIN,1,0.63,1,-0.37,-0.06,7,91.03,85.71,-5.32,24.08,13,95.17,92.31,-2.86,-0.31
Matt Murray,TOR,1,0.55,1,-0.45,-0.07,7,92.1,85.71,-6.38,13.62,8,93.09,87.5,-5.59,-0.4
Scott Wedgewood,COL,1,1.17,0,1.17,0.24,8,85.36,100.0,14.64,18.5,12,90.24,100.0,9.76,1.28
Charlie Lindgren,WSH,1,0.31,1,-0.69,-0.13,5,93.81,80.0,-13.81,6.62,7,95.58,85.71,-9.86,-0.66
