team,points,goals,goals_against,playoffs,win_pt,win_division_rs,win_conference_rs,win_round_1,win_round_2,win_round_3,win_round_4,division,conference
ANA,80.8292,259.5988,288.4806,0.1694,0.0001,0.0026,0.0005,0.0368,0.0086,0.0016,0.0006,Pacific,Western
BOS,75.5768,243.9187,277.4798,0.0538,0.0,0.0018,0.0001,0.0156,0.0038,0.0012,0.0003,Atlantic,Eastern
BUF,88.7294,265.189,260.6634,0.5169,0.005,0.0798,0.0143,0.2265,0.0944,0.0404,0.016,Atlantic,Eastern
CAR,105.3571,279.8505,231.0592,0.9701,0.2122,0.5411,0.4196,0.6214,0.3808,0.2165,0.1199,Metropolitan,Eastern
CBJ,87.9806,270.8489,268.183,0.4225,0.0038,0.0206,0.0129,0.1581,0.0642,0.0264,0.0097,Metropolitan,Eastern
CGY,75.9976,223.7619,262.09,0.0583,0.0,0.0003,0.0,0.0129,0.0033,0.0008,0.0002,Pacific,Western
CHI,71.7806,221.3641,273.7636,0.0181,0.0,0.0002,0.0,0.0029,0.0005,0.0001,0.0,Central,Western
COL,103.1093,291.5422,248.6348,0.9594,0.1395,0.4811,0.2378,0.5855,0.327,0.1678,0.0833,Central,Western
DAL,99.842,282.8773,248.4432,0.911,0.0715,0.2884,0.13,0.5636,0.3351,0.1758,0.096,Central,Western
DET,88.6248,258.551,263.9543,0.4968,0.0042,0.0735,0.0118,0.1918,0.0695,0.0248,0.0094,Atlantic,Eastern
EDM,103.2906,298.5099,250.727,0.9632,0.1473,0.4271,0.2477,0.6551,0.4014,0.2473,0.1453,Pacific,Western
FLA,87.8245,244.8493,248.8859,0.4676,0.0022,0.0665,0.0103,0.2012,0.079,0.0319,0.0124,Atlantic,Eastern
L.A,92.7753,254.2762,244.9117,0.6934,0.0099,0.0598,0.0221,0.278,0.1148,0.0465,0.0188,Pacific,Western
MIN,90.0161,264.0114,260.4921,0.546,0.0057,0.044,0.0123,0.2238,0.0946,0.0354,0.0134,Central,Western
MTL,78.6325,259.1011,293.8081,0.1033,0.0,0.0047,0.0003,0.0268,0.0068,0.0016,0.0003,Atlantic,Eastern
N.J,96.9948,276.1337,253.4005,0.8259,0.0387,0.1476,0.104,0.3853,0.1702,0.0729,0.0306,Metropolitan,Eastern
NSH,86.0633,248.8509,261.2958,0.3491,0.0013,0.0174,0.0057,0.1231,0.0437,0.016,0.0056,Central,Western
NYI,79.5465,245.8232,272.8146,0.108,0.0005,0.0019,0.0013,0.0279,0.0075,0.0015,0.0004,Metropolitan,Eastern
NYR,91.2855,265.468,251.4292,0.5882,0.0078,0.0432,0.0265,0.2689,0.1247,0.0545,0.0247,Metropolitan,Eastern
OTT,80.6743,234.0986,264.3165,0.1575,0.0003,0.0128,0.0019,0.0479,0.0166,0.0047,0.0019,Atlantic,Eastern
PHI,79.2645,245.8336,272.8276,0.1033,0.0002,0.0019,0.0008,0.0287,0.0074,0.002,0.0005,Metropolitan,Eastern
PIT,98.4211,287.2544,256.5055,0.8657,0.0573,0.1977,0.1401,0.4551,0.2258,0.106,0.0482,Metropolitan,Eastern
S.J,72.0972,244.5589,298.3201,0.0246,0.0001,0.0003,0.0001,0.0049,0.0017,0.0003,0.0002,Pacific,Western
SEA,76.1536,233.8921,278.9493,0.0613,0.0,0.0005,0.0,0.0115,0.0022,0.0004,0.0001,Pacific,Western
STL,90.0805,261.083,261.884,0.5572,0.0053,0.047,0.0154,0.2243,0.0899,0.0351,0.0144,Central,Western
T.B,99.3853,283.5593,242.5226,0.9114,0.0621,0.4929,0.1573,0.6311,0.4139,0.2541,0.1456,Atlantic,Eastern
TOR,95.5547,285.1319,261.4148,0.812,0.0271,0.268,0.0726,0.4724,0.2327,0.1227,0.0583,Atlantic,Eastern
UTA,94.1283,267.0697,252.4463,0.7308,0.0174,0.1067,0.0389,0.3123,0.1298,0.0508,0.0204,Central,Western
VAN,92.1563,256.8522,246.1019,0.6788,0.0103,0.0599,0.024,0.2715,0.1137,0.0473,0.0176,Pacific,Western
VGK,103.7765,290.3108,245.3215,0.968,0.1604,0.4495,0.262,0.6043,0.309,0.1672,0.0888,Pacific,Western
WPG,85.0703,244.9799,257.2274,0.3114,0.0015,0.0152,0.0035,0.0895,0.0247,0.0076,0.0019,Central,Western
WSH,91.4667,259.5653,250.3615,0.597,0.0083,0.046,0.0262,0.2413,0.1027,0.0388,0.0152,Metropolitan,Eastern
