ID,date,home_team,away_team,state,matchup,game,home_score,away_score,home_5v5_xG,away_5v5_xG
2024030151.0,2025-04-19,WPG,STL,Final,STL @ WPG,1,5,3,1.35,0.98
2024030161.0,2025-04-19,DAL,COL,Final,COL @ DAL,1,1,5,1.77,2.3
2024030141.0,2025-04-20,CAR,N.J,Final,CAR @ NJD,1,4,1,2.65,1.52
2024030111.0,2025-04-20,TOR,OTT,Final,OTT @ TOR,1,6,2,1.31,2.1
2024030171.0,2025-04-20,VGK,MIN,Final,MIN @ VGK,1,4,2,2.41,2.28
2024030131.0,2025-04-21,WSH,MTL,Final,MTL @ WSH,1,3,2,3.83,2.4
2024030152.0,2025-04-21,WPG,STL,Final,STL @ WPG,2,2,1,2.1,1.2
2024030162.0,2025-04-21,DAL,COL,Final,COL @ DAL,2,4,3,3.45,1.66
2024030181.0,2025-04-21,L.A,EDM,Final,EDM @ LAK,1,6,5,1.64,2.08
2024030142.0,2025-04-22,CAR,N.J,Final,CAR @ NJD,2,3,1,3.27,2.18
2024030112.0,2025-04-22,TOR,OTT,Final,OTT @ TOR,2,3,2,1.74,1.55
2024030121.0,2025-04-22,T.B,FLA,Final,FLA @ TBL,1,2,6,1.4,1.63
2024030172.0,2025-04-22,VGK,MIN,Final,MIN @ VGK,2,2,5,2.68,2.3
2024030132.0,2025-04-23,WSH,MTL,Final,MTL @ WSH,2,3,1,2.41,2.32
2024030163.0,2025-04-23,COL,DAL,Final,COL @ DAL,3,1,2,2.28,1.92
2024030182.0,2025-04-23,L.A,EDM,Final,EDM @ LAK,2,6,2,1.22,1.09
2024030122.0,2025-04-24,T.B,FLA,Final,FLA @ TBL,2,0,2,1.39,0.9
2024030113.0,2025-04-24,OTT,TOR,Final,OTT @ TOR,3,2,3,1.85,1.53
2024030173.0,2025-04-24,MIN,VGK,Final,MIN @ VGK,3,5,2,0.83,1.92
2024030153.0,2025-04-24,STL,WPG,Final,STL @ WPG,3,7,2,1.29,1.0
2024030133.0,2025-04-25,MTL,WSH,Final,MTL @ WSH,3,6,3,2.76,1.38
2024030143.0,2025-04-25,N.J,CAR,Final,CAR @ NJD,3,3,2,4.28,1.8
2024030183.0,2025-04-25,EDM,L.A,Final,EDM @ LAK,3,7,4,2.31,2.05
2024030123.0,2025-04-26,FLA,T.B,Final,FLA @ TBL,3,1,5,2.44,1.83
2024030174.0,2025-04-26,MIN,VGK,Final,MIN @ VGK,4,3,4,2.65,3.88
2024030114.0,2025-04-26,OTT,TOR,Final,OTT @ TOR,4,4,3,1.73,1.94
2024030164.0,2025-04-26,COL,DAL,Final,COL @ DAL,4,4,0,4.66,1.17
2024030154.0,2025-04-27,STL,WPG,Final,STL @ WPG,4,5,1,2.22,1.15
2024030144.0,2025-04-27,N.J,CAR,Final,CAR @ NJD,4,2,5,1.65,2.06
2024030134.0,2025-04-27,MTL,WSH,Final,MTL @ WSH,4,2,5,1.13,1.86
2024030184.0,2025-04-27,EDM,L.A,Final,EDM @ LAK,4,4,3,3.27,2.61
2024030124.0,2025-04-28,FLA,T.B,Final,FLA @ TBL,4,4,2,1.44,1.41
2024030165.0,2025-04-28,DAL,COL,Final,COL @ DAL,5,6,2,2.3,3.14
2024030115.0,2025-04-29,TOR,OTT,Final,OTT @ TOR,5,0,4,1.61,1.39
2024030145.0,2025-04-29,CAR,N.J,Final,CAR @ NJD,5,5,4,3.15,1.86
2024030175.0,2025-04-29,VGK,MIN,Final,MIN @ VGK,5,3,2,1.87,1.35
2024030185.0,2025-04-29,L.A,EDM,Final,EDM @ LAK,5,1,3,1.2,3.69
2024030135.0,2025-04-30,WSH,MTL,Final,MTL @ WSH,5,4,1,2.2,2.72
2024030125.0,2025-04-30,T.B,FLA,Final,FLA @ TBL,5,3,6,2.09,1.62
2024030155.0,2025-04-30,WPG,STL,Final,STL @ WPG,5,5,3,2.57,2.67
2024030116.0,2025-05-01,OTT,TOR,Final,OTT @ TOR,6,2,4,2.78,2.23
2024030176.0,2025-05-01,MIN,VGK,Final,MIN @ VGK,6,2,3,2.66,1.35
2024030166.0,2025-05-01,COL,DAL,Final,COL @ DAL,6,7,4,4.23,1.77
2024030186.0,2025-05-01,EDM,L.A,Final,EDM @ LAK,6,6,4,3.14,2.24
2024030156.0,2025-05-02,STL,WPG,Final,STL @ WPG,6,5,2,1.99,2.05
2024030167.0,2025-05-03,DAL,COL,Final,COL @ DAL,7,4,2,1.36,1.53
2024030157.0,2025-05-04,WPG,STL,Final,STL @ WPG,7,4,3,2.69,2.85
2024030211.0,2025-05-05,TOR,FLA,Final,FLA @ TOR,1,5,4,1.87,2.35
2024030221.0,2025-05-06,WSH,CAR,Final,CAR @ WSH,1,1,2,1.54,3.66
2024030241.0,2025-05-06,VGK,EDM,Final,EDM @ VGK,1,2,4,1.11,2.52
2024030212.0,2025-05-07,TOR,FLA,Final,FLA @ TOR,2,4,3,1.37,3.51
2024030231.0,2025-05-07,WPG,DAL,Final,DAL @ WPG,1,2,3,1.85,2.65
2024030222.0,2025-05-08,WSH,CAR,Final,CAR @ WSH,2,3,1,1.65,2.21
2024030242.0,2025-05-08,VGK,EDM,Final,EDM @ VGK,2,4,5,3.38,2.29
2024030213.0,2025-05-09,FLA,TOR,Final,FLA @ TOR,3,5,4,3.14,1.94
2024030232.0,2025-05-09,WPG,DAL,Final,DAL @ WPG,2,4,0,1.11,1.77
2024030223.0,2025-05-10,CAR,WSH,Final,CAR @ WSH,3,4,0,1.44,1.77
2024030243.0,2025-05-10,EDM,VGK,Final,EDM @ VGK,3,3,4,2.05,2.01
2024030233.0,2025-05-11,DAL,WPG,Final,DAL @ WPG,3,5,2,2.85,1.6
2024030214.0,2025-05-11,FLA,TOR,Final,FLA @ TOR,4,2,0,2.15,1.0
2024030224.0,2025-05-12,CAR,WSH,Final,CAR @ WSH,4,5,2,1.62,1.95
2024030244.0,2025-05-12,EDM,VGK,Final,EDM @ VGK,4,3,0,2.71,1.41
2024030234.0,2025-05-13,DAL,WPG,Final,DAL @ WPG,4,3,1,2.07,2.17
2024030215.0,2025-05-14,TOR,FLA,Final,FLA @ TOR,5,1,6,1.88,1.98
2024030245.0,2025-05-14,VGK,EDM,Final,EDM @ VGK,5,0,1,1.7,2.52
2024030225.0,2025-05-15,WSH,CAR,Final,CAR @ WSH,5,1,3,2.29,2.84
2024030235.0,2025-05-15,WPG,DAL,Final,DAL @ WPG,5,4,0,1.55,1.11
2024030216.0,2025-05-16,FLA,TOR,Final,FLA @ TOR,6,0,2,1.46,1.72
2024030236.0,2025-05-17,DAL,WPG,Final,DAL @ WPG,6,2,1,3.19,1.8
2024030217.0,2025-05-18,TOR,FLA,Final,FLA @ TOR,7,1,6,2.62,3.7
2024030311.0,2025-05-20,CAR,FLA,Final,CAR @ FLA,1,2,5,1.87,1.32
2024030321.0,2025-05-21,DAL,EDM,Final,DAL @ EDM,1,6,3,1.85,2.31
2024030312.0,2025-05-22,CAR,FLA,Final,CAR @ FLA,2,0,5,1.12,2.02
2024030322.0,2025-05-23,DAL,EDM,Final,DAL @ EDM,2,0,3,2.14,2.83
2024030313.0,2025-05-24,FLA,CAR,Final,CAR @ FLA,3,6,2,2.77,1.66
2024030323.0,2025-05-25,EDM,DAL,Final,DAL @ EDM,3,6,1,1.55,3.32
2024030314.0,2025-05-26,FLA,CAR,Final,CAR @ FLA,4,0,3,0.7,2.47
2024030324.0,2025-05-27,EDM,DAL,Final,DAL @ EDM,4,4,1,1.8,2.33
2024030315.0,2025-05-28,CAR,FLA,Final,CAR @ FLA,5,3,5,1.22,2.05
2024030325.0,2025-05-29,DAL,EDM,Final,DAL @ EDM,5,3,6,2.22,2.67
2024030411.0,2025-06-04,EDM,FLA,Final,EDM @ FLA,1,4,3,2.55,3.46
2024030412.0,2025-06-06,EDM,FLA,Final,EDM @ FLA,2,4,5,3.52,2.93
2024030413.0,2025-06-09,FLA,EDM,Final,EDM @ FLA,3,6,1,1.17,0.97
2024030414.0,2025-06-12,FLA,EDM,Final,EDM @ FLA,4,4,5,2.73,3.13
2024030415.0,2025-06-14,EDM,FLA,Final,EDM @ FLA,5,2,5,0.7,1.82
2024030416.0,2025-06-17,FLA,EDM,Final,EDM @ FLA,6,5,1,2.94,1.28
