team,xGF,xGA,FF,FA,CF,CA,GF,GA,finishing,goaltending,PP,PK
ANA,26,30,22,32,22,32,20,20,27,7,32,28
BOS,18,23,30,19,29,20,23,19,31,22,29,24
BUF,22,29,17,20,20,16,4,26,5,23,23,23
CAR,1,7,1,1,1,1,8,21,28,18,26,1
CBJ,17,28,16,26,18,27,1,24,4,21,22,22
CGY,28,12,8,16,7,19,31,7,16,17,19,25
CHI,32,24,32,30,32,28,26,31,1,29,8,14
COL,4,9,6,2,3,4,15,12,18,11,9,12
DAL,7,22,18,24,13,17,5,14,14,3,17,5
DET,27,19,26,22,27,21,29,17,17,25,4,32
EDM,3,10,3,4,5,3,14,22,21,24,11,16
FLA,9,2,2,5,2,2,21,4,25,19,12,10
L.A,21,1,5,3,6,5,7,2,7,15,27,8
MIN,25,17,24,21,24,25,30,8,29,12,20,30
MTL,10,32,27,27,25,29,17,27,15,4,21,9
N.J,14,8,20,11,12,7,25,11,26,5,18,6
NSH,19,21,19,17,19,14,32,28,32,31,3,2
NYI,23,14,11,18,11,23,18,13,20,20,31,31
NYR,13,26,12,28,17,24,6,23,11,13,27,11
OTT,20,13,15,15,16,15,28,16,19,8,12,19
PHI,8,18,25,10,28,22,16,29,30,32,30,20
PIT,12,25,14,25,10,18,22,30,23,30,6,18
S.J,30,31,29,31,31,31,27,32,22,28,25,28
SEA,24,27,21,29,21,30,12,25,12,16,23,21
STL,29,3,31,7,30,10,11,6,2,26,16,28
T.B,15,6,13,12,14,8,3,5,3,9,5,6
TOR,16,20,23,23,23,26,10,3,10,2,7,17
UTA,2,15,4,6,4,6,19,10,24,14,10,14
VAN,31,5,28,13,26,12,24,18,9,27,15,3
VGK,6,11,7,9,8,9,9,9,13,10,2,26
WPG,11,4,9,14,15,11,13,1,8,1,1,13
WSH,5,16,10,8,9,13,2,15,6,6,14,4
